mse,mae,acc,f1,ser,div
0.96875,0.671875,0.453125,0.2476585236793368,0.2109375,1.7180585664106172
1.109375,0.71875,0.453125,0.3126873927140949,0.28125,1.8197598852609984
1.2421875,0.7734375,0.4140625,0.2718899491040097,0.296875,1.8799402639128573
1.0859375,0.6953125,0.4765625,0.3018928783634665,0.2421875,1.8589507920470527
0.984375,0.734375,0.3671875,0.1968388831112768,0.28125,1.824439319121716
1.1484375,0.7578125,0.40625,0.3047610164573228,0.28125,1.8753616146950016
0.84375,0.59375,0.5078125,0.3829345794392523,0.1875,1.678869723467475
1.3203125,0.7734375,0.453125,0.2320025021502854,0.2890625,1.915806518871652
1.40625,0.78125,0.4453125,0.2392195767195767,0.3046875,1.920773015495049
1.375,0.828125,0.40625,0.2820604952856474,0.3046875,1.970070321170904
1.3125,0.8125,0.390625,0.2003352192362093,0.1875,1.712777965680735
0.9921875,0.7109375,0.40625,0.3031339031339031,0.2578125,1.8032185095432447
1.1015625,0.7265625,0.4296875,0.2888310417722183,0.2421875,1.899383186175338
1.4921875,0.8359375,0.4140625,0.1977824566340375,0.2578125,1.873968763840908
1.015625,0.71875,0.4140625,0.2501259376631465,0.265625,1.801821633548596
1.0546875,0.7109375,0.4375,0.2799351570473823,0.28125,1.862731895182279
1.0859375,0.7265625,0.421875,0.2637636674607538,0.1640625,1.7267052638932694
1.4765625,0.8984375,0.328125,0.1971399594320486,0.2890625,1.9216627319514192
1.2421875,0.7890625,0.3984375,0.2232703190253787,0.2265625,1.793801704679757
1.25,0.796875,0.3984375,0.2314642220524573,0.28125,1.832133844617268
1.140625,0.71875,0.453125,0.2910907811400422,0.234375,1.8256209265835432
0.9609375,0.6484375,0.46875,0.2835591449267662,0.2265625,1.764798359654972
1.015625,0.6875,0.4375,0.2521377000203698,0.2109375,1.7642539674779154
1.1484375,0.7578125,0.40625,0.2865491159608807,0.2265625,1.784037885952448
1.0078125,0.6796875,0.46875,0.3119104791266925,0.2421875,1.8603436925237848
1.1953125,0.7734375,0.40625,0.1954263565891472,0.1953125,1.7768743265008244
1.0234375,0.7265625,0.3984375,0.3030363279332351,0.265625,1.7902265050435593
1.3828125,0.8046875,0.421875,0.2158117213323163,0.2890625,1.908586981281428
1.265625,0.765625,0.4296875,0.2502643229756571,0.2421875,1.8800080473974283
1.0234375,0.6953125,0.453125,0.338046207665398,0.28125,1.9049587875795224
1.0,0.6875,0.4375,0.3139653414882772,0.1953125,1.7944720026778078
0.984375,0.734375,0.390625,0.2372906178489702,0.203125,1.787577385709561
1.2890625,0.8203125,0.3828125,0.1785034013605442,0.2109375,1.8158452520516464
0.8125,0.625,0.4609375,0.3229046311399252,0.265625,1.815777520497313
1.1953125,0.7734375,0.3828125,0.2323474397942482,0.2734375,1.7982999063731897
0.9765625,0.7109375,0.40625,0.2096195316071092,0.140625,1.6470925840730892
1.015625,0.703125,0.421875,0.2635667189952904,0.2734375,1.8285292067789725
1.359375,0.859375,0.3515625,0.2184778012684989,0.3125,1.931320710861897
1.2109375,0.8203125,0.3515625,0.2277966146768253,0.2265625,1.858835093652949
1.0390625,0.7265625,0.40625,0.2914682539682539,0.234375,1.7671155156248823
0.921875,0.65625,0.4609375,0.3370118508942038,0.28125,1.8091897568227289
1.1953125,0.7734375,0.40625,0.3227675137286289,0.328125,1.8997587091834087
1.21875,0.765625,0.421875,0.2250221043324491,0.265625,1.7846075371217862
1.09375,0.71875,0.4453125,0.3505492264953997,0.25,1.7887960358900004
1.1171875,0.7265625,0.421875,0.2948761235570561,0.265625,1.844096856012424
1.0234375,0.7265625,0.40625,0.2647957420335937,0.2890625,1.878938563797404
1.171875,0.75,0.4296875,0.3375193184069744,0.28125,1.8780329606535944
1.125,0.765625,0.390625,0.2719000599899476,0.2734375,1.8335558751681449
1.2734375,0.8046875,0.3671875,0.2739205608959106,0.25,1.7942272452742565
1.203125,0.8125,0.3515625,0.2422027534418022,0.234375,1.843615536593624
1.0625,0.6875,0.46875,0.3327738299436412,0.2890625,1.84731862347991
1.0390625,0.6953125,0.4453125,0.3462077144178006,0.296875,1.8556486234663263
1.1796875,0.7109375,0.4765625,0.3041428293097646,0.28125,1.869956698351224
1.40625,0.890625,0.3203125,0.2185383244206774,0.2421875,1.8236700952134008
1.2421875,0.8203125,0.3671875,0.2180822825891809,0.234375,1.8392793490577448
0.984375,0.71875,0.3984375,0.2966977285963891,0.2578125,1.8775706676668296
1.1015625,0.6796875,0.4921875,0.3413300441977592,0.296875,1.849225267968996
1.1484375,0.7421875,0.4296875,0.2851632222045733,0.2109375,1.7783298144520143
1.203125,0.796875,0.3671875,0.2466150742710434,0.25,1.8398661020648928
